Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GAIL,EQ,03-Aug-18,377.65,379.1,389.8,378,387.95,388.2,385.34,4937125,1902469706,58256,1708680,34.61
GAIL,EQ,06-Aug-18,388.2,390,392,375.3,376.5,376.35,383.05,2874937,1101240263,31244,1178433,40.99
GAIL,EQ,07-Aug-18,376.35,379.35,383.4,373,374.95,374.7,377.9,2899126,1095567001,57358,801101,27.63
GAIL,EQ,08-Aug-18,374.7,377.9,382,374.8,377,377,377.75,4394557,1660044476,57920,2278076,51.84
GAIL,EQ,09-Aug-18,377,377.5,380.4,374.25,375.25,375.55,376.24,1330634,500633365.7,30294,642144,48.26
GAIL,EQ,10-Aug-18,375.55,375.5,385.8,353.7,364.3,362.95,368.2,8626809,3176368989,108533,2858219,33.13
GAIL,EQ,13-Aug-18,362.95,363.95,379.5,363,375,375.45,375.03,10514919,3943460864,196705,4930567,46.89
GAIL,EQ,14-Aug-18,375.45,374.65,384.25,372.65,379.1,379.8,380.14,4765993,1811736651,104965,2016162,42.3
GAIL,EQ,16-Aug-18,379.8,379.7,399.4,379.1,393.5,393.8,394.74,15145786,5978575669,169942,6618701,43.7
GAIL,EQ,17-Aug-18,393.8,394,396.6,384.2,388.4,387.7,388.14,4503067,1747806769,76088,966573,21.46
GAIL,EQ,20-Aug-18,387.7,390.1,392,375,378.55,379.05,379.98,5035831,1913490365,61445,1985080,39.42
GAIL,EQ,21-Aug-18,379.05,380.5,386.45,375.6,378.15,378.1,381.84,4119939,1573140975,61465,1452522,35.26
GAIL,EQ,23-Aug-18,378.1,380.8,385.9,378.75,385.1,384.2,381.89,3188517,1217677537,66739,1577002,49.46
GAIL,EQ,24-Aug-18,384.2,385,389,376,380.3,380.65,381.64,4306308,1643445218,67163,1539897,35.76
GAIL,EQ,27-Aug-18,380.65,384.15,386.45,379.85,384.5,383.35,383.49,1598698,613076960.4,28340,464293,29.04
GAIL,EQ,28-Aug-18,383.35,384.8,394.85,362.8,364.85,364.25,375.73,10515122,3950828727,124937,3145979,29.92
GAIL,EQ,29-Aug-18,364.25,369.4,374.1,365.1,367.8,367.45,368.52,5288267,1948813028,55618,1840345,34.8
GAIL,EQ,30-Aug-18,367.45,369.3,379.5,364.3,375,376.2,375.17,10677085,4005679342,84161,6235814,58.4
GAIL,EQ,31-Aug-18,376.2,377.9,383.7,370.15,371.25,372.2,376.01,5678159,2135029134,87840,2743988,48.33
GAIL,EQ,03-Sep-18,372.2,375.8,375.8,367.35,367.65,368.3,370.26,2263662,838146042.4,34218,529416,23.39
GAIL,EQ,04-Sep-18,368.3,368.3,370.9,357.15,360,359.45,364.43,2701096,984356872.2,40071,771116,28.55
GAIL,EQ,05-Sep-18,359.45,360,369,354.15,361.35,362,361.26,4165225,1504721211,56849,1190502,28.58
GAIL,EQ,06-Sep-18,362,364.7,373,361.05,365.4,365.6,366.45,5917508,2168465172,97911,2501396,42.27
GAIL,EQ,07-Sep-18,365.6,368.95,379.6,366.65,376.75,377.2,372.77,5186072,1933234368,94299,2280221,43.97
GAIL,EQ,10-Sep-18,377.2,377,379.65,369.6,377.25,377.7,374.98,3964119,1486464570,82964,1943388,49.02
GAIL,EQ,11-Sep-18,377.7,381.95,381.95,368.8,374,372.15,373.32,5017965,1873316885,79401,1398124,27.86
GAIL,EQ,12-Sep-18,372.15,374,376.7,367.8,370.25,370.1,372.11,3753380,1396688042,92067,1793259,47.78
GAIL,EQ,14-Sep-18,370.1,371,375.7,368.1,369.55,369.95,370.36,4991574,1848656945,160362,3069514,61.49
GAIL,EQ,17-Sep-18,369.95,369.8,374.4,366.1,371.3,372.55,370.75,3621053,1342493700,103917,1742450,48.12
GAIL,EQ,18-Sep-18,372.55,372.7,378.3,372.6,374.75,374.8,375.8,4274325,1606307838,80063,2274608,53.22
GAIL,EQ,19-Sep-18,374.8,376.25,385.9,373.7,385,384.55,382.76,7525127,2880329582,109836,3597466,47.81
GAIL,EQ,21-Sep-18,384.55,388.35,394.55,380.4,390,390.15,389.62,7864409,3064146128,106618,4172899,53.06
GAIL,EQ,24-Sep-18,390.15,390,393.05,378.75,380.95,380.9,386.15,5192499,2005091870,82216,2787299,53.68
GAIL,EQ,25-Sep-18,380.9,380.5,380.5,363.55,370.95,369.9,369.45,3355490,1239693812,51315,1171138,34.9
GAIL,EQ,26-Sep-18,369.9,372,382,370.5,375,375.1,376.94,3446786,1299240147,56777,1148537,33.32
GAIL,EQ,27-Sep-18,375.1,378.55,389.4,375.1,377,377.7,380.54,9256917,3522641259,99933,4178930,45.14
GAIL,EQ,28-Sep-18,377.7,385.6,393,373.3,380,379,385.26,13186663,5080248659,151919,6250359,47.4
GAIL,EQ,01-Oct-18,379,381.8,386.75,377.6,380.75,381,382.56,4688781,1793743561,69898,1948590,41.56
GAIL,EQ,03-Oct-18,381,380.95,385.7,379.05,381.5,381.75,382.14,3903687,1491773512,64320,2150090,55.08
GAIL,EQ,04-Oct-18,381.75,379.8,379.8,355,356.85,367.95,372.01,5560627,2068610539,109150,3253026,58.5
GAIL,EQ,05-Oct-18,367.95,349,349,295.25,330.05,332.05,330.01,21045602,6945171767,194371,9212148,43.77
GAIL,EQ,08-Oct-18,332.05,330.05,346.3,330.05,341.55,343.9,340.63,5993328,2041510480,114043,2403507,40.1
GAIL,EQ,09-Oct-18,343.9,343,346.4,331.4,334,333.5,337.82,5250619,1773758194,88929,2757303,52.51
GAIL,EQ,10-Oct-18,333.5,335.45,340.9,330.5,336.15,336.35,335.26,3969159,1330711950,79939,2162684,54.49
GAIL,EQ,11-Oct-18,336.35,328,352.7,327,350,350.25,342.47,5845043,2001748107,145591,2155861,36.88
GAIL,EQ,12-Oct-18,350.25,351.9,361,351.2,357.3,359.3,356.47,5062781,1804753720,86080,2767587,54.67
GAIL,EQ,15-Oct-18,359.3,358.9,360.25,341.5,351,351.05,348.77,3690741,1287222012,107035,1697477,45.99
GAIL,EQ,16-Oct-18,351.05,351.05,357.3,346.25,351.9,352.3,352.44,3423229,1206491693,87726,1939612,56.66
